convex_hull_volume,distance_from_center_of_field_to_target,residual_avg,error
111.8109492,5.169997101,0.342275001,0.16690557
48.7649014,15.35086111,1.146227703,5.540634563
86.55067504,5.047909945,0.31986494,0.332951114
64.07326387,11.29072312,0.049373161,1.303253593
158.4945177,11.55507653,1.204586952,1.845545056
50,12.65153045,0.175093211,1.213285104
95.88972607,4.843355846,0.886683791,0.473805855
76.79319094,16.35597232,0.082355947,1.429203833
87.48534484,4.899672998,0.029088739,0.459913759
149.4835597,5.268904429,0.370153471,1.490594587
112.9331571,11.93369913,0.218363917,0.972145759
196.5793296,4.515042009,0.272450281,0.870397908
141.600332,11.60903492,0.24930335,0.504178026
71.26612275,12.21206907,0.256497,0.982004501
100,11.77872408,0.058335402,0.19451981
100,5.446955822,0.255790953,0.61030072
86.12530164,4.7864818,0.443707344,0.680923012
52.97536663,11.92001235,0.090819402,0.136146059
125.0458502,5.487596196,0.175980185,0.820343998
130.5855759,5.525921382,0.023986093,0.3170802
126.1481034,15.76347801,0.179956537,0.216598087
123.3034109,11.84185334,0.008990946,0.168279067
205.2516681,11.58056298,0.309477112,0.32756242
100,5.482308218,0.00534921,0.466602148
53.0954379,6.046893811,0.305157674,0.843709656
92.65205252,11.92431551,0.117857564,0.127790423
131.7333069,5.384037449,0.161801186,0.290295677
45.74749042,11.59251458,0.13657683,1.400982318
2.709014205,4.841326554,0.050162819,13.63605116
111.3251698,5.576101209,0.278281134,0.717876237
78.23780827,11.38852688,0.101025116,1.774324062
52.94668137,12.04898722,0.591903238,11.78210849
50,5.360196732,0.002535108,0.240338932
100,5.969421097,0.162841901,0.780090923
87.86596414,5.656974186,0.006976257,0.354430146
42.10029759,11.158696,0.058385989,0.836897112
118.5924596,5.417377642,0.161818375,0.72324179
55.0927613,11.54595202,0.740641285,0.543543399
79.03408946,12.10400002,0.53411185,0.285901532
116.6252189,16.242394,0.679799312,0.602463081
179.0478871,12.25118053,0.190075122,0.392646166
50,4.767681653,0.955564339,1.056636776
50,5.829086982,0.440645931,0.788199041
2.332481001,6.513577699,0.164832401,1.279860361
50,16.48267364,0.11720247,0.765045858
90.98799821,5.739532529,0.753778145,0.927279378
103.6624162,12.51693518,0.183787412,1.026253683
128.3118512,12.1916083,0.095207914,0.701276114
165.7571153,11.99336114,0.252844045,1.014160441
60.84391635,12.35371815,0.246689593,0.568127223
100,5.493648275,0.052592641,0.574913967
100,4.845739906,0.308286888,1.002960364
88.64976354,5.084333355,0.245233112,0.359607706
72.04355925,11.99480357,0.286478196,0.487589226
132.5968406,5.315012962,0.224933025,0.097397412
35.22045548,10.06904421,0.006315855,3.566285529
101.5327551,11.92556248,1.183366441,2.51499418
67.02577343,15.45300606,2.321517836,2.488961183
67.02577343,12.20527305,0.265613607,1.223331234
50,6.412187895,0.043852773,1.275955266
54.90066222,4.844593275,1.38353235,0.494836432
100,5.271584604,0.721661445,0.433494145
100,11.97207984,0.255141711,0.437712694
46.58034251,11.7871452,0.183986796,0.43032837
96.56897327,12.03075091,0.105591819,0.418964382
143.897005,4.959081885,0.388966637,0.375543643
120.1649959,12.15768992,0.172605325,0.34989649
150.2904251,16.19966395,0.125490756,0.649487658
50,4.655349292,0.060392172,0.782917332
52.90853761,4.948585465,0.046223229,0.914710622
55.73948318,5.412881042,0.052433717,0.64220014
50,12.03584253,0.304412577,1.202954706
69.80502365,12.27161971,0.309919746,1.060452261
152.7295288,6.076227034,0.12254755,0.893203226
71.6626349,12.10489279,0.966293425,0.710429377
119.1440886,12.16171393,0.627351827,0.545701608
97.33539768,16.50781774,0.373776821,0.777905957
100,5.383114994,0.523938974,0.472961979
53.31793315,11.55768741,0.306365207,1.289213569
31.46264572,15.97453438,0.034158581,1.165690965
42.3007781,5.065945942,0.950862467,0.526624622
85.44859229,5.230061445,0.183042846,0.23058515
209.5181285,12.22602618,0.528875868,0.971108329
134.2736537,5.355752373,0.185847586,0.172593697
76.1189819,11.05623007,0.094866714,0.949984028
152.2909345,12.14580728,0.205142589,1.084670414
50,5.128234564,0.218975185,0.288487101
100,5.13206761,0.671812896,0.173323885
100,5.498430205,0.238467737,0.227015195
86.22704329,11.70014895,0.06332225,0.943440761
128.866136,5.494852884,0.382331608,0.354296388
71.91714875,12.53185596,0.039093552,0.793116686
27.51677945,12.66666416,0.012403169,0.865975263
88.15198766,16.50643978,0.041382287,0.896802577
159.9960326,12.01144786,0.615603363,0.307926634
